Salário,Profissão,Setor,Estado,FormaTrabalho,Nivel,TamanhoEmpresa,Gestão,TipoTrabalho,Idade,Experiência,Escolaridade,Formação,LinguagemPython,LinguagemR,LinguagemSQL,NuvemAWS,NuvemGCP,NuvemAzure,QlikView,PowerBI,Tableau
7000.0,,Serviços,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Outros,25-29,de 4 a 5 anos,Estudante de Graduação,Outras Engenharias,,,,,,,,,
7000.0,,Marketing,Sergipe (SE),Modelo híbrido com dias fixos de trabalho presencial,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),35-39,Não tenho experiência na área de dados,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,,,,,,,,,
18000.0,,Setor Público,Distrito Federal (DF),Modelo 100% remoto,,Acima de 3000,sim,Outros,35-39,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
7000.0,,Construção Civil,Goiás (GO),Modelo 100% presencial,,de 1001 a 3000,sim,Empreendedor ou Empregado (CNPJ),25-29,de 4 a 5 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Finanças ou Bancos,Santa Catarina (SC),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),45-49,Mais de 10 anos,Mestrado,Outras Engenharias,,,,,,,,,
7000.0,,Setor Público,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,Acima de 3000,sim,Outros,30-34,de 6 a 10 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
5000.0,,Marketing,Rio Grande do Sul (RS),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),25-29,de 2 a 3 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
25000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),30-34,Mais de 10 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,,,,,,,,,
10000.0,,Agronegócios,São Paulo (SP),Modelo 100% presencial,,de 501 a 1000,sim,Outros,40-44,de 4 a 5 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Área da Saúde,Minas Gerais (MG),Modelo 100% presencial,,de 101 a 500,sim,Outros,30-34,Mais de 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
7000.0,,Educação,Minas Gerais (MG),Modelo 100% remoto,,de 101 a 500,sim,Outros,30-34,de 4 a 5 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
27500.0,,Finanças ou Bancos,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,Acima de 3000,sim,Outros,45-49,de 4 a 5 anos,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,,,,,,,,,
10000.0,,Agronegócios,São Paulo (SP),Modelo 100% presencial,,de 1001 a 3000,sim,Outros,40-44,de 4 a 5 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
5000.0,,Outro,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,de 101 a 500,sim,Outros,35-39,de 4 a 5 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
35000.0,,Setor Público,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Outros,35-39,de 1 a 2 anos,Graduação/Bacharelado,Outras,,,,,,,,,
10000.0,,Finanças ou Bancos,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Acima de 3000,sim,Outros,17-21,de 2 a 3 anos,Mestrado,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
10000.0,,Consultoria,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,de 101 a 500,sim,Outros,30-34,de 2 a 3 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
14000.0,,Finanças ou Bancos,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,Acima de 3000,sim,Outros,30-34,de 1 a 2 anos,Não tenho graduação formal,,,,,,,,,,
22500.0,,Varejo,Paraná (PR),Modelo 100% remoto,,Acima de 3000,sim,Outros,30-34,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Finanças ou Bancos,São Paulo (SP),Modelo 100% remoto,,de 501 a 1000,sim,Outros,30-34,de 4 a 5 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,Paraná (PR),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 101 a 500,sim,Empreendedor ou Empregado (CNPJ),30-34,de 2 a 3 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
25000.0,,Marketing,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Empreendedor ou Empregado (CNPJ),35-39,Não tenho experiência na área de dados,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Energia,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,de 101 a 500,sim,Outros,50-54,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
7000.0,,Consultoria,Minas Gerais (MG),Modelo 100% remoto,,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),30-34,de 2 a 3 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,Santa Catarina (SC),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),25-29,de 6 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
18000.0,,Tecnologia/Fábrica de Software,Mato Grosso (MT),Modelo 100% remoto,,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),25-29,Mais de 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
1500.0,,Tecnologia/Fábrica de Software,Santa Catarina (SC),Modelo 100% presencial,,de 6 a 10,sim,Estagiário,17-21,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
2500.0,,Varejo,Rio Grande do Sul (RS),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 11 a 50,sim,Outros,17-21,Não tenho experiência na área de dados,Não tenho graduação formal,,,,,,,,,,
7000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),30-34,de 2 a 3 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
18000.0,,Entretenimento ou Esportes,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,de 101 a 500,sim,Outros,35-39,Menos de 1 ano,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,,,,,,,,,
5000.0,,Outro,São Paulo (SP),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),45-49,Mais de 10 anos,Graduação/Bacharelado,Ciências Sociais,,,,,,,,,
18000.0,,Internet/Ecommerce,Minas Gerais (MG),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),30-34,de 6 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
3500.0,,Área da Saúde,São Paulo (SP),Modelo 100% presencial,,de 501 a 1000,sim,Outros,45-49,de 6 a 10 anos,Mestrado,Ciências Biológicas/Farmácia/Medicina/Área da Saúde,,,,,,,,,
7000.0,,Finanças ou Bancos,Minas Gerais (MG),Modelo 100% remoto,,de 101 a 500,sim,Outros,25-29,de 6 a 10 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Consultoria,Minas Gerais (MG),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),35-39,Mais de 10 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
10000.0,,Varejo,Rio de Janeiro (RJ),Modelo 100% remoto,,de 101 a 500,sim,Outros,35-39,de 6 a 10 anos,Não tenho graduação formal,,,,,,,,,,
10000.0,,Varejo,Rio de Janeiro (RJ),Modelo híbrido com dias fixos de trabalho presencial,,de 1001 a 3000,sim,Outros,30-34,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Área da Saúde,São Paulo (SP),Modelo 100% remoto,,de 6 a 10,sim,Outros,45-49,Mais de 10 anos,Mestrado,Outras Engenharias,,,,,,,,,
10000.0,,Outro,São Paulo (SP),Modelo 100% presencial,,de 501 a 1000,sim,Outros,25-29,de 2 a 3 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
22500.0,,Marketing,Rio de Janeiro (RJ),Modelo 100% remoto,,Acima de 3000,sim,Outros,35-39,de 6 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,Minas Gerais (MG),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),30-34,de 6 a 10 anos,Não tenho graduação formal,,,,,,,,,,
1000.0,,Tecnologia/Fábrica de Software,Piauí (PI),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),50-54,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
14000.0,,Marketing,São Paulo (SP),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),55+,Mais de 10 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,Acima de 3000,sim,Outros,35-39,de 4 a 5 anos,Doutorado ou Phd,Química / Física,,,,,,,,,
5000.0,,Educação,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,Acima de 3000,sim,Outros,40-44,Menos de 1 ano,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
18000.0,,Tecnologia/Fábrica de Software,Paraná (PR),Modelo 100% remoto,,de 1001 a 3000,sim,Outros,25-29,de 4 a 5 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
25000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,de 501 a 1000,sim,Empreendedor ou Empregado (CNPJ),35-39,Mais de 10 anos,Mestrado,Química / Física,,,,,,,,,
5000.0,,Finanças ou Bancos,Minas Gerais (MG),Modelo 100% remoto,,de 51 a 100,sim,Outros,25-29,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
7000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),35-39,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
10000.0,,Outro,,Modelo 100% presencial,,de 1001 a 3000,sim,Outros,35-39,Mais de 10 anos,Doutorado ou Phd,Outras,,,,,,,,,
14000.0,,Setor Público,Rio Grande do Norte (RN),Modelo 100% remoto,,Acima de 3000,sim,Outros,35-39,de 2 a 3 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Agronegócios,Rio Grande do Sul (RS),Modelo 100% remoto,,Acima de 3000,sim,Outros,25-29,de 4 a 5 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
18000.0,,Varejo,Rio Grande do Sul (RS),Modelo 100% remoto,,Acima de 3000,sim,Outros,30-34,de 2 a 3 anos,Mestrado,Outras,,,,,,,,,
10000.0,,Internet/Ecommerce,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Acima de 3000,sim,Outros,25-29,de 1 a 2 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
14000.0,,Finanças ou Bancos,Alagoas (AL),Modelo 100% remoto,,Acima de 3000,sim,Outros,30-34,de 6 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Finanças ou Bancos,Alagoas (AL),Modelo 100% remoto,,Acima de 3000,sim,Outros,30-34,de 6 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Tecnologia/Fábrica de Software,Santa Catarina (SC),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),25-29,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
7000.0,,Internet/Ecommerce,Pernambuco (PE),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 101 a 500,sim,Outros,25-29,de 2 a 3 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
18000.0,,Outro,Minas Gerais (MG),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 501 a 1000,sim,Empreendedor ou Empregado (CNPJ),35-39,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Educação,São Paulo (SP),Modelo 100% remoto,,de 1001 a 3000,sim,Outros,25-29,de 2 a 3 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
5000.0,,Área da Saúde,Paraná (PR),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),25-29,de 4 a 5 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
2500.0,,Outro,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 6 a 10,sim,Empreendedor ou Empregado (CNPJ),22-24,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,Minas Gerais (MG),Modelo 100% remoto,,de 1001 a 3000,sim,Outros,30-34,de 6 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
2500.0,,Internet/Ecommerce,São Paulo (SP),Modelo 100% presencial,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),40-44,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
1500.0,,Varejo,São Paulo (SP),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),30-34,Não tenho experiência na área de dados,Não tenho graduação formal,,,,,,,,,,
10000.0,,Outro,São Paulo (SP),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),40-44,de 2 a 3 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
5000.0,,Marketing,Pernambuco (PE),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),25-29,de 1 a 2 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
10000.0,,Setor Público,Rio de Janeiro (RJ),Modelo 100% presencial,,Acima de 3000,sim,Outros,30-34,Não tenho experiência na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
7000.0,,Área da Saúde,Paraná (PR),Modelo 100% presencial,,Acima de 3000,sim,Outros,35-39,de 1 a 2 anos,Mestrado,Ciências Biológicas/Farmácia/Medicina/Área da Saúde,,,,,,,,,
10000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),22-24,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
22500.0,,Internet/Ecommerce,Rio de Janeiro (RJ),Modelo 100% remoto,,de 1001 a 3000,sim,Outros,35-39,de 6 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Educação,Rio de Janeiro (RJ),Modelo 100% remoto,,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),30-34,de 6 a 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
5000.0,,Setor Automotivo,Paraná (PR),Modelo 100% presencial,,de 11 a 50,sim,Outros,35-39,de 6 a 10 anos,Graduação/Bacharelado,Outras,,,,,,,,,
25000.0,,Agronegócios,Bahia (BA),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),35-39,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
27500.0,,Agronegócios,Espírito Santo (ES),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Empreendedor ou Empregado (CNPJ),35-39,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Setor Público,Bahia (BA),Modelo 100% presencial,,de 101 a 500,sim,Outros,35-39,Mais de 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
14000.0,,Setor Automotivo,São Paulo (SP),Modelo 100% presencial,,de 101 a 500,sim,Outros,45-49,Menos de 1 ano,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
7000.0,,Outro,Rio de Janeiro (RJ),Modelo 100% presencial,,Acima de 3000,sim,Outros,35-39,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
10000.0,,Tecnologia/Fábrica de Software,Santa Catarina (SC),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Empreendedor ou Empregado (CNPJ),40-44,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
22500.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Outros,35-39,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Marketing,São Paulo (SP),Modelo 100% remoto,,de 11 a 50,sim,Outros,40-44,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Área da Saúde,São Paulo (SP),Modelo 100% remoto,,de 11 a 50,sim,Outros,25-29,de 2 a 3 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
10000.0,,Setor Público,São Paulo (SP),Modelo 100% remoto,,Acima de 3000,sim,Outros,25-29,de 6 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Tecnologia/Fábrica de Software,Minas Gerais (MG),Modelo híbrido com dias fixos de trabalho presencial,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),25-29,de 4 a 5 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
25000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 1001 a 3000,sim,Outros,30-34,de 4 a 5 anos,Mestrado,Outras Engenharias,,,,,,,,,
18000.0,,Educação,Rio de Janeiro (RJ),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Outros,45-49,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
22500.0,,Setor Público,Fora do Brasil,Modelo 100% remoto,,de 501 a 1000,sim,Outros,45-49,de 6 a 10 anos,Mestrado,Outras Engenharias,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),30-34,de 2 a 3 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
27500.0,,Finanças ou Bancos,São Paulo (SP),Modelo 100% presencial,,de 51 a 100,sim,Outros,35-39,Mais de 10 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Setor Público,Bahia (BA),Modelo híbrido com dias fixos de trabalho presencial,,de 501 a 1000,sim,Outros,50-54,Mais de 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional,,,,,,,,,
25000.0,,Consultoria,São Paulo (SP),Modelo 100% remoto,,de 101 a 500,sim,Outros,35-39,de 4 a 5 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
18000.0,,Internet/Ecommerce,Minas Gerais (MG),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1001 a 3000,sim,Outros,30-34,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
35000.0,,Varejo,São Paulo (SP),Modelo 100% remoto,,de 101 a 500,sim,Outros,40-44,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
27500.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 501 a 1000,sim,Outros,35-39,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Varejo,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Acima de 3000,sim,Outros,30-34,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
22500.0,,Setor Alimentício,São Paulo (SP),Modelo 100% remoto,,Acima de 3000,sim,Outros,40-44,de 6 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
27500.0,,Varejo,São Paulo (SP),Modelo 100% remoto,,Acima de 3000,sim,Outros,40-44,de 4 a 5 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Internet/Ecommerce,São Paulo (SP),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),25-29,de 6 a 10 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
7000.0,,Indústria,São Paulo (SP),Modelo 100% presencial,,de 101 a 500,sim,Outros,25-29,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
